    2.965730        7.245479      -0.2904254       -5.485824     
    4.344106       -1.948240        3.601029        4.234006     
   -1.419004        4.904701        4.221094       -5.263184     
   0.7026226        6.974473        8.189471      -0.7440509     
    3.667178       0.3286343       -1.287744       -1.639429     
    7.904869       0.7716341       -2.006178        2.497103     
    2.087356        1.995696        6.555226        3.059583     
   -5.421540        4.810331        3.702330        4.604659     
    2.813952      -0.7290087        1.790376        6.844287     
    5.942639       -1.239002       0.7762566      -0.9974250    
