    6.165928        4.832335        4.691333        5.699463     
    5.685680        3.239071       0.2134034      -0.6905160     
  -0.2645584       0.1233318        1.095753        3.989861     
    8.976284        2.896277       0.1064331        5.021429     
    4.260720       -3.706210        1.082724       0.3193271     
    1.095917        3.677584        8.858580        3.498151     
  -5.9414152E-02    4.928558        4.315868       -3.702162     
    1.091535       0.3044841        1.087252        3.671409     
    8.449518        2.443593      -0.5563672        4.110187     
    8.757100        3.786636        2.214264        4.974955    
